billQuantity;2014-04-03 09:22:19;1424
billList;2014-04-03 09:22:20;569
billQuantity;2014-04-03 09:22:22;98
billList;2014-04-03 09:22:22;381
billQuantity;2014-04-03 09:22:23;110
billList;2014-04-03 09:22:23;250
billQuantity;2014-04-03 09:22:24;88
billList;2014-04-03 09:22:25;241
billQuantity;2014-04-03 09:22:26;91
billList;2014-04-03 09:22:26;232
billQuantity;2014-04-03 09:22:27;96
billList;2014-04-03 09:22:27;224
billQuantity;2014-04-03 09:22:28;100
billList;2014-04-03 09:22:29;202
billQuantity;2014-04-03 09:22:30;78
billList;2014-04-03 09:22:30;259
billQuantity;2014-04-03 09:22:31;126
billList;2014-04-03 09:22:31;205
billQuantity;2014-04-03 09:22:32;80
billList;2014-04-03 09:22:33;273
